Year,Category,Nominee,Female,Oscarstat_previousnominations_acting,Oscarstat_previouswins_acting,Winner,Oscarstat_totalnoms,Nom_Oscar_bestfilm,Win_BAFTA,Nom_BAFTA,Win_GoldenGlobe_comedy-leadacting,Nom_GoldenGlobe_comedy-leadacting,Win_GoldenGlobe_drama-leadacting,Nom_GoldenGlobe_drama-leadacting,Win_GoldenGlobe_supportingacting,Nom_GoldenGlobe_supportingacting,Win_Criticschoice,Nom_Criticschoice,Win_SAG_acting,Nom_SAG_acting,Win_SAG_bestcast,Nom_SAG_bestcast,Age_[0-25],Age_[25-35],Age_[35-45],Age_[45-55],Age_[55-65],Age_[65-75],Age_[75+],Rating_IMDB,Rating_rtaudience,Rating_rtcritic,Genre_action,Genre_adventure,Genre_comedy,Genre_crime,Genre_biography,Genre_drama,Genre_fantasy,Genre_sci-fi,Genre_music,Genre_mystery,Genre_romance,Genre_history,Genre_thriller,Genre_sport,Genre_family,Genre_war,Genre_filmnoir,Genre_western
1963,Actor,Peter O'Toole,0,0,0,0,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.3,93,97,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1963,Actress,Lee Remick,1,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.9,88,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1963,Actress,Anne Bancroft,1,0,0,1,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.1,88,100,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1963,Actress,Bette Davis,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.1,92,91,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1963,Actress,Katharine Hepburn,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.8,86,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,Supporting Actor,Telly Savalas,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7.8,85,82,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1963,Supporting Actor,Omar Sharif,0,0,0,0,10,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8.3,93,97,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1963,Supporting Actor,Victor Buono,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8.1,92,91,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1963,Supporting Actor,Terence Stamp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.9,86,100,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1963,Supporting Actor,Ed Begley,0,0,0,1,3,0,0,0,,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.5,72,75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1963,Supporting Actress,Mary Badham,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.3,93,91,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1963,Supporting Actress,Thelma Ritter,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.8,85,82,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1963,Supporting Actress,Patty Duke,1,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8.1,88,100,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1963,Supporting Actress,Angela Lansbury,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,90,98,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1964,Actor,Sidney Poitier,0,0,0,1,5,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.7,86,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1964,Actor,Albert Finney,0,0,0,0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.7,58,83,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1964,Actor,Richard Harris,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.8,87,100,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1964,Actor,Rex Harrison,0,0,0,0,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,69,55,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1964,Actor,Paul Newman,0,1,0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.9,89,84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1964,Actress,Rachel Roberts,1,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.8,87,100,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1964,Actress,Patricia Neal,1,0,0,1,7,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7.9,89,84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1964,Actress,Shirley MacLaine,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.4,78,86,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1964,Actress,Natalie Wood,1,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.5,87,89,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1964,Actress,Leslie Caron,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.5,89,85.07044831,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1964,Supporting Actor,Nick Adams,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.3,14,85.07044831,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1964,Supporting Actor,Hugh Griffith,0,0,0,0,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6.7,58,83,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1964,Supporting Actor,Melvyn Douglas,0,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.9,89,84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1964,Supporting Actor,John Huston,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.8,67,60,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1964,Supporting Actor,Bobby Darin,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,64,85.07044831,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1964,Supporting Actress,Lilia Skala,1,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7.7,86,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1964,Supporting Actress,Margaret Rutherford,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6.3,43,85.07044831,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1965,Actor,Rex Harrison,0,1,0,1,12,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.9,90,96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1965,Actor,Richard Burton,0,0,0,0,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,88,76,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1965,Actor,Peter O'Toole,0,1,0,0,12,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,88,76,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1965,Actor,Anthony Quinn,0,0,0,0,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.8,87,86,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1965,Actor,Peter Sellers,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5,94,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1965,Actress,Julie Andrews,1,0,0,1,12,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.8,86,100,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1965,Actress,Anne Bancroft,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.4,75,64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1965,Actress,Debbie Reynolds,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.8,71,75,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,Actress,Kim Stanley,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.9,84,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,Actress,Sophia Loren,1,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.5,84,85.07044831,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1965,Supporting Actor,Stanley Holloway,0,0,0,0,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7.9,90,96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1965,Supporting Actor,John Gielgud,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,88,76,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1965,Supporting Actor,Peter Ustinov,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.1,66,89,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,Supporting Actor,Edmond O'Brien,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7.9,88,100,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1965,Supporting Actor,Lee Tracy,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7.7,86,72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1965,Supporting Actress,Gladys Cooper,1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.9,90,96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1965,Supporting Actress,Lila Kedrova,1,0,0,1,7,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7.8,87,86,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1965,Supporting Actress,Grayson Hall,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7.8,85,71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1965,Supporting Actress,Agnes Moorehead,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7.7,85,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,Actor,Lee Marvin,0,0,0,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.9,75,100,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1966,Actor,Richard Burton,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.7,82,85,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1966,Actor,Laurence Olivier,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.3,65,80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1966,Actor,Rod Steiger,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.8,88,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1966,Actor,Oskar Werner,0,0,0,0,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.2,80,81,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1966,Actress,Simone Signoret,1,0,0,0,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.2,80,81,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1966,Actress,Julie Christie,1,0,0,1,5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.2,71,70,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1966,Actress,Julie Andrews,1,1,1,0,10,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,91,86,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1966,Actress,Samantha Eggar,1,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.6,83,100,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1966,Actress,Elizabeth Hartman,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,91,100,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1966,Supporting Actor,Frank Finlay,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7.3,65,80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
