Category,Film,Nominee,Winner,Year,Rating_IMDB,Rating_rtaudience,Rating_rtcritic,Oscarstat_totalnoms,Win_GoldenGlobe_bestdirector,Win_BAFTA,Win_DGA,Nom_GoldenGlobe_bestdirector,Nom_BAFTA,Nom_DGA,Oscarstat_previouswins_bestdirector,Oscarstat_previousnominations_bestdirector,Nom_Oscar_bestfilm,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_war,Genre_filmnoir,Genre_western,Genre_thriller,Genre_sport,Genre_family,Genre_action,Genre_adventure
Director,The Stunt Man,Richard Rush,0,1981,7.2,75,89,3,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Director,Raging Bull,Martin Scorsese,0,1981,8.2,93,97,8,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Director,Reds,Warren Beatty,1,1982,7.5,82,94,12,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Director,Chariots of Fire,Hugh Hudson,0,1982,7.2,80,83,7,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Director,Atlantic City,Louis Malle,0,1982,7.4,77,100,5,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,On Golden Pond,Mark Rydell,0,1982,7.7,87,92,10,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Raiders of the Lost Ark,Steven Spielberg,0,1982,8.5,96,94,9,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Director,Gandhi,Richard Attenborough,1,1983,8.1,92,88,11,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Director,The Verdict,Sidney Lumet,0,1983,7.8,88,96,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Das Boot,Wolfgang Petersen,0,1983,8.4,96,98,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Director,Tootsie,Sydney Pollack,0,1983,7.4,81,89,9,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,E.T. the Extra-Terrestrial,Steven Spielberg,0,1983,7.9,72,98,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Director,Terms of Endearment,James L. Brooks,1,1984,7.4,84,88,11,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Tender Mercies,Bruce Beresford,0,1984,7.4,82,85,4,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Director,Fanny and Alexander,Ingmar Bergman,0,1984,8.1,94,100,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Silkwood,Mike Nichols,0,1984,7.2,78,75,5,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Director,The Dresser,Peter Yates,0,1984,7.7,88,100,5,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Amadeus,Milo Forman,1,1985,8.3,95,95,11,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Director,Broadway Danny Rose,Woody Allen,0,1985,7.5,84,100,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Places in the Heart,Robert Benton,0,1985,7.3,82,96,7,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,The Killing Fields,Roland Joff,0,1985,7.9,92,93,7,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Director,A Passage to India,David Lean,0,1985,7.4,78,85,11,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Director,Out of Africa,Sydney Pollack,1,1986,7.2,83,56,11,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,Kiss of the Spider Woman,Hctor Babenco,0,1986,7.4,81,88,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Prizzi's Honor,John Huston,0,1986,6.8,62,88,8,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Ran,Akira Kurosawa,0,1986,8.2,95,96,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Director,Witness,Peter Weir,0,1986,7.4,80,92,8,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,Platoon,Oliver Stone,1,1987,8.1,93,88,8,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Director,Hannah and Her Sisters,Woody Allen,0,1987,8,90,93,7,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,A Room with a View,James Ivory,0,1987,7.4,86,100,8,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,The Mission,Roland Joff,0,1987,7.5,87,65,7,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Director,Blue Velvet,David Lynch,0,1987,7.8,88,94,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Director,The Last Emperor,Bernardo Bertolucci,1,1988,7.8,88,92,9,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Director,Hope and Glory,John Boorman,0,1988,7.4,83,94,5,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,My Life as a Dog,Lasse Hallstrm,0,1988,7.7,90,100,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Director,Moonstruck,Norman Jewison,0,1988,7.1,80,92,6,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Director,Fatal Attraction,Adrian Lyne,0,1988,6.9,72,78,6,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Director,Rain Man,Barry Levinson,1,1989,8,90,90,8,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
